event_id,state,district,lat,lng,geology,year,label
NAG/ZUN/83K09/2016/118,Nagaland,Kiphire,25.833644,94.518333,Shale,2016.0,2
NAG/ZUN/83J12/2017/0076,Nagaland,Zunheboto,26.191463,94.549524,Weathered shale,2017.0,2
NG/KOH/83K2/2015/238,Nagaland,Kohima,25.747,94.075,"Varaibly thick, clay-rich overburden and palaeoslide debris resting over highly weathered shales of Disang Group",2015.0,2
NAG/ZUN/83K09/2016/127,Nagaland,Kiphire,25.9899,94.5679,Shale,2016.0,2
NAG/WOKH/83J08/2015/0022,Nagaland,Wokha,26.123806,94.294889,Sandstone with siltstone,2015.0,2
NG/PHE/83K6/2015/333,Nagaland,Phek,25.625,94.345,Shale dominated Disangs,2015.0,2
NG/TUE/83J15/2017/24,Nagaland,Tuensang,26.275,94.770278,Shale dominated with Sandstone,2017.0,2
NAG/KIP/83K13/2016/077,Nagaland,Kiphire,25.814897,94.970297,Shale,2016.0,2
NG/PHE/83K6/2015/261,Nagaland,Phek,25.552,94.36,Shale dominated Disangs,2015.0,2
NG/LON/83J15/2017/27,Nagaland,Longleng,26.491389,94.824444,shale dominant,2017.0,2
NAG/ZUN/83K09/2016/047,Nagaland,Kiphire,25.968233,94.684364,Weathered shale,2016.0,2
NG/KOH/83K2/2015/103,Nagaland,Kohima,25.63,94.014,Sandstone dominated Barails,2015.0,2
NG/MON/83J14/2017/22,Nagaland,Mon,26.541389,94.946389,sandstone dominant with shale,2017.0,2
NAG/WOK/83J/4/2016/0107,Nagaland,Wokha,26.0225,94.004444,Sandstone,2016.0,2
NA/PER/83G10/2020/12,Nagaland,Peren,25.5,93.67,"Shale, siltstone, greywacke rhythmite & sandstone",2020.0,2
NG/KOH/83K2/2015/224,Nagaland,Kohima,25.66,94.096,Overburden (thick) resting over dark grey splintery shales of Disangs,2015.0,2
NG/KOH/83K2/2015/129,Nagaland,Kohima,25.694,94.103,Shale dominated Disangs,2015.0,2
NAG/KIP/83K13/2016/031,Nagaland,Kiphire,25.896244,94.758128,Sandstone with intercalation of shale,2016.0,2
NG/MON/83N01/2017/15,Nagaland,Mon,26.768667,95.086222,Shale,2017.0,2
NAG/WOK/83J/4/2016/0076,Nagaland,Wokha,26.143722,94.151111,Sandstone and shale,2016.0,2
NG/NOK/83N04/2017/49,Nagaland,Noklak,26.069278,95.023806,Not exposed,2017.0,2
NG/NOK/83N04/2017/24,Nagaland,Noklak,26.196222,95.020722,Shale,2017.0,2
NA/DIM/83G13/2020/46,Nagaland,Dimapur,25.79,93.78,"Conglomerate with sandy loam, kankar & sandy clay",2020.0,2
NAG/TUN/83J16/2016/0028,Nagaland,Tuensang,26.182216,94.891382,Sandstone and shale,2016.0,2
NG/MON/83J15/2017/10,Nagaland,Mon,26.337778,94.929167,Shale dominent with Silt and sandstone,2017.0,2
NG/KOH/83K2/2015/234,Nagaland,Kohima,25.744,94.242,Colluvium,2015.0,2
NG/MON/83N01/2017/45,Nagaland,Mon,26.825,95.076778,Shale,2017.0,2
NG/PHE/83K6/2015/307,Nagaland,Phek,25.552,94.289,Sandstone dominated Barails,2015.0,2
NG/PHE/83K6/2015/334,Nagaland,Phek,25.744,94.337,Shale dominated Disangs,2015.0,2
NAG/KOH/83K1/2016/104,Nagaland,Kohima,25.952861,94.021028,"Sandstone, Siltstone and Shale",2016.0,2
NG/PHE/83K6/2015/263,Nagaland,Phek,25.571,94.253,Shale dominated Disangs,2015.0,2
NG/KOH/83K2/2015/232,Nagaland,Kohima,25.673,94.239,Soil cover,2015.0,2
NG/KOH/83K2/2015/236,Nagaland,Kohima,25.623,94.113,Shale dominated Disangs,2015.0,2
NAG/KIP/83K13/2016/025,Nagaland,Kiphire,25.829728,94.792592,Weathered shale,2016.0,2
NG/PHE/83K6/2015/340,Nagaland,Phek,25.6975,94.43,Sandstone dominated Barails,2015.0,2
NG/KOH/83K2/2015/136,Nagaland,Kohima,25.682,94.094,Colluvium,2015.0,2
