slope_deg,rainfall_24h_mm,rainfall_72h_mm,soil_moisture,elevation_m,lithology_code,ndvi,landslide_risk_level,event_id,state,district,lat,lng,year,data_source
36.2,110.5,201.5,0.43,314.0,4,0.52,2,MZ/LAW/84B15/2018/40,Mizoram,Lawngtlai,22.309944,92.768059,2018,GSI_REAL
36.2,110.5,201.5,0.43,489.0,3,0.52,2,MZ/CHA/84E01/2017/25,Mizoram,Champhai,23.803085,93.159225,2017,GSI_REAL
36.2,110.5,201.5,0.43,806.0,4,0.52,2,MZ/CHA/84E03/2017/33,Mizoram,Champhai,23.471889,93.246333,2017,GSI_REAL
36.2,110.5,201.5,0.43,1067.0,4,0.52,2,MIZ/AIZ/84A13/2016/10,Mizoram,Aizawl,23.929083,92.922778,2016,GSI_REAL
36.2,110.5,201.5,0.43,547.0,4,0.52,2,MZ/KOL/83D15/2020/19,Mizoram,Kolasib,24.28,92.81,2020,GSI_REAL
36.2,110.5,201.5,0.43,488.0,4,0.52,2,MZ/CHA/84E02/2017/0110,Mizoram,Champhai,23.631956,93.033971,2017,GSI_REAL
36.2,110.5,201.5,0.43,1344.0,4,0.52,2,MZ/CHA/84E08/2017/48,Mizoram,Champhai,23.058,93.280568,2017,GSI_REAL
36.2,110.5,201.5,0.43,870.0,3,0.52,2,MZ/LUN/84A12/2018/56,Mizoram,Lunglei,23.210028,92.522781,2018,GSI_REAL
36.2,110.5,201.5,0.43,755.0,4,0.52,2,MZ/CHA/84E07/2017/16,Mizoram,Champhai,23.454924,93.260137,2017,GSI_REAL
36.2,110.5,201.5,0.43,792.0,4,0.52,2,MZ/LUN/84A12/2018/50,Mizoram,Lunglei,23.242306,92.640587,2018,GSI_REAL
36.2,110.5,201.5,0.43,1570.0,4,0.52,2,MZ/CHA/84E03/2017/19,Mizoram,Champhai,23.442083,93.223472,2017,GSI_REAL
36.2,110.5,201.5,0.43,535.0,4,0.52,2,MZ/LAW/84B15/2018/15,Mizoram,Lawngtlai,22.448,92.882004,2018,GSI_REAL
36.2,110.5,201.5,0.43,968.0,4,0.52,2,MZ/SAI/84F03/2020/7,Mizoram,Saiha,22.28,93.08,2020,GSI_REAL
36.2,110.5,201.5,0.43,501.0,4,0.52,2,MZ/LAW/84B15/2018/30,Mizoram,Lawngtlai,22.379,92.858002,2018,GSI_REAL
36.2,110.5,201.5,0.43,108.0,4,0.52,2,MZ/LAW/84B11/2020/43,Mizoram,Lawngtlai,22.37,92.63,2020,GSI_REAL
36.2,110.5,201.5,0.43,629.0,4,0.52,2,MZ/MAM/84A10/2015/130,Mizoram,Mamit,23.726694,92.557778,2015,GSI_REAL
36.2,110.5,201.5,0.43,561.0,4,0.52,2,MZ/LUN/84A12/2018/70,Mizoram,Lunglei,23.214001,92.588608,2018,GSI_REAL
36.2,110.5,201.5,0.43,900.0,4,0.52,2,MZ/AIZ/83D16/2016/61,Mizoram,Aizawl,24.077014,92.790809,2016,GSI_REAL
36.2,110.5,201.5,0.43,77.0,4,0.52,2,MZ/LAW/84B10/2020/44,Mizoram,Lawngtlai,22.55,92.54,2020,GSI_REAL
36.2,110.5,201.5,0.43,652.0,4,0.52,2,MZ/SER/84A15/2016/120,Mizoram,Serchhip,23.297637,92.74119,2016,GSI_REAL
36.2,110.5,201.5,0.43,1043.0,4,0.52,2,MZ/AIZ/84A14/2015/65,Mizoram,Aizawl,23.682158,92.858383,2015,GSI_REAL
36.2,110.5,201.5,0.43,1030.0,4,0.52,2,MZ/CHA/84E01/2017/4,Mizoram,Champhai,23.881639,93.234642,2017,GSI_REAL
36.2,110.5,201.5,0.43,787.0,4,0.52,2,MZ/LUN/84B13/2018/21,Mizoram,Lunglei,22.815697,92.802696,2018,GSI_REAL
36.2,110.5,201.5,0.43,800.0,4,0.52,2,MIZO/LUN/84B13/2005/E-17,Mizoram,Lunglei,22.90442,92.72281,2005,GSI_REAL
36.2,110.5,201.5,0.43,858.0,4,0.52,2,MZ/KOL/83D12/2016/13,Mizoram,Kolasib,24.030186,92.673377,2016,GSI_REAL
36.2,110.5,201.5,0.43,278.0,4,0.52,2,MZ/LAW/84B10/2020/32,Mizoram,Lawngtlai,22.68,92.58,2020,GSI_REAL
36.2,110.5,201.5,0.43,537.0,4,0.52,2,MZ/SER/84A16/2018/35,Mizoram,Serchhip,23.23,92.919724,2018,GSI_REAL
36.2,110.5,201.5,0.43,794.0,4,0.52,2,MZ/CHA/84E02/2017/0085,Mizoram,Champhai,23.644469,93.068299,2017,GSI_REAL
36.2,110.5,201.5,0.43,1367.0,4,0.52,2,MZ/SER/84E03/2017/4,Mizoram,Serchhip,23.457028,93.006722,2017,GSI_REAL
36.2,110.5,201.5,0.43,113.0,4,0.52,2,MZ/LAW/84B16/2020/3,Mizoram,Lawngtlai,22.15,92.78,2020,GSI_REAL
36.2,110.5,201.5,0.43,992.0,4,0.52,2,MZ/LAW/84B11/2020/54,Mizoram,Lawngtlai,22.43,92.71,2020,GSI_REAL
36.2,110.5,201.5,0.43,553.0,3,0.52,2,MZ/LUN/84B10/2020/67,Mizoram,Lunglei,22.71,92.66,2020,GSI_REAL
